"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1099934160,"858c1c6c-f762-11e1-a439-00145eb45e9a",16.333334,47.5,NA,1990,"4",7,"Austria","M-0044764 / 9265 / 5838","Hafellner, J. (no. 24738)","SNSB-M","Austria. Burgenland: Südburgenland, Kleinfedenberg E of Deutsch-Kaltenbrunn, in a forest c. 0.5 km SE of the road towards Fedenberg. MTB 8962/2. Alt. c. 350 m. In a Quercus-Pinus forest, on Q. robur.","BSMlichfungicoll","GBIF",NA
NA,NA,13.026685,47.692,NA,1989,"17. sept.",NA,"GERMANY","38723","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 750 m. Along trail to Salzburger Hochthron, on Hochbartkogel. E-facing slope with remnants of old Fagus-forest, Picea and Abies.",NA,"BERLIN_DB",""
152925686,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745393,45.899676,NA,1988,"5",8,"Slovenia","F775256","Hočevar S.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1099000544,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,NA,1988,"7",23,"Germany","M-0161783 / 468711 / 188225","Deuter, H. (no. 0199)","SNSB-M","Germany, Bavaria, Upper Bavaria, München, Landkreis Bertesgaden, direkt am Hintersee (nördlich).","BSMlichenscoll","GBIF",NA
1099000537,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,NA,1988,"9",26,"Germany","M-0161840 / 468111 / 187927","Deuter, H. (no. 0258)","SNSB-M","Germany, Bavaria, Upper Bavaria, München, Warnbergstrasse, unbebautes Gebiet.","BSMlichenscoll","GBIF",NA
1099000534,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,NA,1988,"10",9,"Germany","M-0161888 / 468113 / 187928","Deuter, H. (no. 0311)","SNSB-M","Germany, Bavaria, Upper Bavaria, München, Truderinger Grenzkolonie, Gründerodestrassse, 170cm above ground, W.","BSMlichenscoll","GBIF",NA
152925699,"89579e3e-f762-11e1-a439-00145eb45e9a",15.245148,46.399678,NA,1987,"9",23,"Slovenia","F775981","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1099934155,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.573889,48.138889,NA,1986,"5",7,"Germany","M-0044761 / 14549 / 9238","Schwaiger, J. (no. 1466)","SNSB-M","Oberbayern: Forstenrieder Park, südlich München; MTB 7934. Bestandseinteilung der Forsteinrichtung: III 03 f. Am Stamm von Quercus robur (ø ca. 95 cm). ca. 600 m","BSMlichfungicoll","GBIF",NA
1099934163,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.573889,48.138889,NA,1986,"5",7,"Germany","M-0044763 / 10655 / 6713","Hertel, H.","SNSB-M","Deutschland, Bayern: München, Forstenrieder Park südlich der Stadt, Eichelgarten (3f)","BSMlichfungicoll","GBIF",NA
1099934167,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.573889,48.138889,NA,1986,"5",7,"Germany","M-0044760 / 3154 / 1997","Schwaiger, J. (no. 1454)","SNSB-M","Oberbayern: Forstenrieder Park, südlich München; MTB 7934. Bestandseinteilung der Forsteinrichtung: III 03 f. Am Stamm von Quercus robur (ø ca. 95 cm). ca. 600 m.","BSMlichfungicoll","GBIF",NA
