"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
1273868051,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.15808,46.22763,"Friuli-Venezia Giulia",1915,"8",NA,"Italy","1896392","J. Hruby","LD","General","No locality information available","GBIF",NA,120,"Usnea florida"
1273868053,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.90538,46.77217,"Kärnten",1915,"8",NA,"Austria","1896264","J. Hruby","LD","General","No locality information available","GBIF",NA,31,"Usnea florida"
NA,NA,10.305232,50.709771,NA,1915,"1 Aug.",NA,"GERMANY","1913","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND, Thüringen: Thüringer Wald, Zillbacher Forst (Umg. Schmalkalden).","BERLIN_DB","",76,"Usnea florida"
442148668,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,NA,1914,"6",28,"Germany","B 60 0128248 / 152882 / 92776","Lettau, G.","B","Blettaucoll","Schwarzwald: Heubronner Eck (Belchen), 950 m.","GBIF",NA,61,"Usnea florida"
NA,NA,10.435196,50.742215,NA,1914,"13 Dec.",NA,"GERMANY","1933","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND: Ehrenthal (verm. nahe Schmalkalden, Thüringen).","BERLIN_DB","",76,"Usnea florida"
442148671,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.8525,47.734722,NA,1913,"8",31,"Germany","B 60 0128249b / 152894 / 92783","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 3) Am Zeller Blauen, 1000 m.","GBIF",NA,76,"Usnea florida"
442148667,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.740833,47.644165,NA,1912,"1",NA,"Germany","B 60 0128247 / 152880 / 92775","Lettau, G.","B","Blettaucoll","Baden: Häfnetbuck bei Steinen","GBIF",NA,94,"Usnea florida"
442148670,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.053611,47.859444,NA,1912,"7",28,"Germany","B 60 0128249a / 152892 / 92782","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 2) Hirschbäder am Feldberg","GBIF",NA,57,"Usnea florida"
442148596,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.928333,47.71389,NA,1912,"9",15,"Germany","B 60 0000341 / 152861 / 92765","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 1) Gersbacher Wald (Rohrenkopf)","GBIF",NA,65,"Usnea florida"
NA,NA,10.482549,50.701782,NA,1912,"29 Dec.",NA,"GERMANY","1990","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND, Thüringen: Thüringer Wald, Mittelstiller Wald (bei Schmalkalden).","BERLIN_DB","",73,"Usnea florida"
