"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
NA,NA,8.74285,49.408476,NA,1958,"25. Mai",NA,"GERMANY","178724","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Granitfelsen am Wilckens-Felsen, Haarlaß-Heidelberg, schattiger Standort.",NA,"BERLIN_DB","B 60 0174601",89,"Flavoparmelia caperata"
911958085,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.926117,48.335283,NA,1957,"1",2,"Germany","3938",NA,"FR","Augsburg, im Siebentischwald, an der Ilsungstraße","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Flavoparmelia caperata"
911958047,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.252217,46.453617,NA,1957,"4",14,"Italy","3936",NA,"FR","Südtirol, Eppan b. Bozen, s-Hang bei der Gleifkapelle","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,107,"Flavoparmelia caperata"
788546731,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.66257,49.07815,"Jihomoravsky kraj",1955,"2",13,"Czechia","1303864","A. Vezda","LD","No locality information available","General","GBIF",NA,91,"Flavoparmelia caperata"
NA,NA,7.355672,50.336538,NA,1954,"01. Juli",NA,"GERMANY","97421","Th. Müller","BERLIN_DB","DEUTSCHLAND, Rheinland-Pfalz: Kr. Mayen, Welling, Schutzgebiet Horley, sonnige Schieferfelsen, SO, Unterdevon, häufig, Nettetal, SO-Eifel.",NA,"BERLIN_DB","B 60 0146386",94,"Flavoparmelia caperata"
911958087,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.978617,47.038617,NA,1953,"4",19,"Austria","3941",NA,"FR","Ötztal, Matrei, bei Huben","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,29,"Flavoparmelia caperata"
NA,NA,7.178115,49.847362,NA,1953,"18. April",NA,"GERMANY","97427","Th. Müller","BERLIN_DB","DEUTSCHLAND, Rheinland-Pfalz: Hintzerath bei Morbach, an Linde.",NA,"BERLIN_DB","B 60 0146358",73,"Flavoparmelia caperata"
NA,NA,8.83544,49.398343,NA,1952,"Mar.",NA,"GERMANY","179217","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Odenwald. Herrenwald near Dilsberg.",NA,"BERLIN_DB","B 60 0190609",98,"Flavoparmelia caperata"
2449355263,"85739778-f762-11e1-a439-00145eb45e9a",10.3667,47.5,NA,1951,"8",1,"Germany","115545","V. J. Grummann","B","DEUTSCHLAND, Bayern: Allgäuer Alpen, Osterachtal.","Lichen Herbarium Berlin","GBIF",NA,49,"Flavoparmelia caperata"
788556822,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,"Bern",1949,"5",19,"Switzerland","1314004","Ove Almborn","LD","Bantiger","General","GBIF",NA,78,"Flavoparmelia caperata"
788557419,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.491944,47.349444,"Zürich",1949,"5",19,"Switzerland","1314604","Ove Almborn","LD","Uetliberg","General","GBIF",NA,84,"Flavoparmelia caperata"
